district_code,district_name_ar,district_name_en,villas,apartments,total_residential,villa_pct,apartment_pct,building_type
245,منطقة مفتوحة تابعة لبلدية الحائر,Open areas,23,1180,1203,1.9,98.1,APARTMENT-HEAVY
008,المغرزات,MUGHARAZAT,1183,0,1183,100.0,0.0,VILLA-HEAVY
121,المدينة الصناعية الجديدة,NEW INDUSTRIAL CITY,1151,0,1151,100.0,0.0,VILLA-HEAVY
233,المجد,Al Majad,1094,0,1094,100.0,0.0,VILLA-HEAVY
069,الرائد,AR-RAED,885,160,1045,84.7,15.3,VILLA-HEAVY
040,عتيقة,UTAYQAH,1040,1,1041,99.9,0.1,VILLA-HEAVY
062,الجرادية,AL-JARRADIYAH,1002,0,1002,100.0,0.0,VILLA-HEAVY
018,الزهراء,AZ-ZAHRAA,985,9,994,99.1,0.9,VILLA-HEAVY
146,الدريهمية,AD-DURAIHEMIYAH,890,96,986,90.3,9.7,VILLA-HEAVY
015,الملك عبدالعزيز,KING ABDUL AZIZ,920,0,920,100.0,0.0,VILLA-HEAVY
017,الضباط,AD-DOBBAT,886,1,887,99.9,0.1,VILLA-HEAVY
050,المعذر,AL-MATHAR,784,0,784,100.0,0.0,VILLA-HEAVY
041,منفوحة الجديدة,MANFUHA AL-JADEEDAH,743,0,743,100.0,0.0,VILLA-HEAVY
164,البرية,AL-BARIYAH,686,0,686,100.0,0.0,VILLA-HEAVY
057,الفاخرية,AL-FAKHIRIYAH,595,0,595,100.0,0.0,VILLA-HEAVY
122,هيت,HEET,144,364,508,28.3,71.7,APARTMENT-HEAVY
140,العريجاء,AL-URAIJA,483,0,483,100.0,0.0,VILLA-HEAVY
055,الناصرية,AN-NASIRIYAH,432,1,433,99.8,0.2,VILLA-HEAVY
029,الديرة,AD-DIRAH,351,0,351,100.0,0.0,VILLA-HEAVY
039,الصالحية,AS-SALHIYAH,350,0,350,100.0,0.0,VILLA-HEAVY
025,العمل,AL-AMAL,331,10,341,97.1,2.9,VILLA-HEAVY
027,الصناعية,AS-SINAIYAH,340,0,340,100.0,0.0,VILLA-HEAVY
056,النموذجية,AN-NAMUTHAJIYAH,323,0,323,100.0,0.0,VILLA-HEAVY
052,المؤتمرات,AL-MUTAMARAT,295,0,295,100.0,0.0,VILLA-HEAVY
059,عليشة,OLAISHAH,281,8,289,97.2,2.8,VILLA-HEAVY
026,ثليم,THULAIM,216,4,220,98.2,1.8,VILLA-HEAVY
060,أم سليم,UMM-SALEEM,203,0,203,100.0,0.0,VILLA-HEAVY
161,الدحو,AD-DAHOU,164,0,164,100.0,0.0,VILLA-HEAVY
162,سكيرينة,SKIRINAH,147,2,149,98.7,1.3,VILLA-HEAVY
063,الشميسي,ASH-SHOMAISI,143,2,145,98.6,1.4,VILLA-HEAVY
065,صياح,SIYAH,142,0,142,100.0,0.0,VILLA-HEAVY
244, , ,131,0,131,100.0,0.0,VILLA-HEAVY
131,المصانع,AL-MASANI,124,0,124,100.0,0.0,VILLA-HEAVY
024,الفوطة,AL-FUTAH,107,0,107,100.0,0.0,VILLA-HEAVY
118,النور,AN-NOOR,86,0,86,100.0,0.0,VILLA-HEAVY
031,سلام,SALAM,71,0,71,100.0,0.0,VILLA-HEAVY
030,المرقب,AL-MARGAB,60,0,60,100.0,0.0,VILLA-HEAVY
058,الوشام,AL-WISHAM,52,0,52,100.0,0.0,VILLA-HEAVY
033,معكال,MEEKAL,30,0,30,100.0,0.0,VILLA-HEAVY
201,وادي لبن,WADY LABAN,18,0,18,100.0,0.0,VILLA-HEAVY
125,المنصورية,AL-MANSURIAH,15,0,15,100.0,0.0,VILLA-HEAVY
032,الدوبية,AD-DUBIYAH,9,0,9,100.0,0.0,VILLA-HEAVY
037,البطيحا,AL-BOTAIHA,9,0,9,100.0,0.0,VILLA-HEAVY
036,جبرة,JABRAH,7,0,7,100.0,0.0,VILLA-HEAVY
163,المشاعل,AL-MASHAEL,5,0,5,100.0,0.0,VILLA-HEAVY
116,السلي,AS-SULAI,2,0,2,100.0,0.0,VILLA-HEAVY
034,الوسيطا,AL-WESITA,2,0,2,100.0,0.0,VILLA-HEAVY
